"cu_customerNumber","cu_customerName","or_orderDate","or_status","sumCost"
299,"Norway Gifts By Mail, Co.","08/21/2004 00:00:00","Shipped",32261
286,"Marta's Replicas Co.","08/27/2004 00:00:00","Shipped",43136
172,"La Corne D'abondance, Co.","08/28/2004 00:00:00","Shipped",1961
298,"Vida Sport, Ltd","08/30/2004 00:00:00","Shipped",61399
166,"Handji Gifts& Co","09/01/2004 00:00:00","Shipped",38786
167,"Herkku Gifts","09/03/2004 00:00:00","Shipped",12538
198,"Auto-Moto Classics Inc.","09/07/2004 00:00:00","Shipped",5858
448,"Scandinavian Gift Ideas","09/08/2004 00:00:00","Shipped",48810
131,"Land of Toys Inc.","09/08/2004 00:00:00","Shipped",35324
249,"Amica Models & Co.","09/09/2004 00:00:00","Shipped",33924
204,"Online Mini Collectables","09/10/2004 00:00:00","Shipped",4424
362,"Gifts4AllAges.com","09/10/2004 00:00:00","Shipped",15060
415,"Bavarian Collectables Imports, Co.","09/15/2004 00:00:00","Shipped",31310
189,"Clover Collections, Co.","09/16/2004 00:00:00","Shipped",17360
103,"Atelier graphique","09/27/2004 00:00:00","Shipped",6067
186,"Toys of Finland, Co.","09/30/2004 00:00:00","Shipped",34342
128,"Blauer See Auto, Co.","10/04/2003 00:00:00","Shipped",24102
299,"Norway Gifts By Mail, Co.","10/05/2003 00:00:00","Shipped",36800
201,"UK Collectables, Ltd.","10/06/2003 00:00:00","Shipped",23909
484,"Iberia Gift Imports, Corp.","10/06/2004 00:00:00","Shipped",3475
256,"Auto Associés & Cie.","10/11/2004 00:00:00","Shipped",53117
286,"Marta's Replicas Co.","10/13/2004 00:00:00","Shipped",47411
187,"AV Stores, Co.","10/14/2004 00:00:00","Shipped",52827
339,"Classic Gift Ideas, Inc","10/14/2004 00:00:00","Shipped",23333
319,"Mini Classics","10/15/2004 00:00:00","Shipped",42339
121,"Baane Mini Imports","10/15/2004 00:00:00","Shipped",17876
259,"Toms Spezialitäten, Ltd","10/16/2004 00:00:00","Shipped",61238
141,"Euro+ Shopping Channel","10/16/2004 00:00:00","Shipped",36140
124,"Mini Gifts Distributors Ltd.","10/21/2004 00:00:00","Shipped",55642
202,"Canadian Gift Exchange Network","10/22/2004 00:00:00","Shipped",33596
227,"Heintze Collectables","10/22/2004 00:00:00","Shipped",53744
119,"La Rochelle Gifts","10/29/2004 00:00:00","Shipped",19500
240,"giftsbymail.co.uk","11/01/2004 00:00:00","Shipped",46789
161,"Technics Stores Inc.","11/02/2004 00:00:00","Shipped",2434
157,"Diecast Classics Inc.","11/02/2004 00:00:00","Shipped",35151
456,"Microscale Inc.","11/03/2004 00:00:00","Shipped",27552
144,"Volvo Model Replicas, Co","11/03/2004 00:00:00","Shipped",16799
462,"FunGiftIdeas.com","11/04/2004 00:00:00","Shipped",48356
363,"Online Diecast Creations Co.","11/04/2004 00:00:00","Shipped",50800
128,"Blauer See Auto, Co.","11/05/2004 00:00:00","Shipped",7466
181,"Vitachrome Inc.","11/05/2004 00:00:00","Shipped",44402
121,"Baane Mini Imports","11/05/2004 00:00:00","Shipped",34638
144,"Volvo Model Replicas, Co","11/09/2004 00:00:00","Shipped",19207
145,"Danish Wholesale Imports","11/10/2004 00:00:00","Resolved",20566
278,"Rovelli Gifts","11/12/2004 00:00:00","Shipped",37654
131,"Land of Toys Inc.","11/15/2004 00:00:00","Shipped",50024
385,"Cruz & Sons Co.","11/16/2004 00:00:00","Shipped",15823
486,"Motor Mint Distributors Inc.","11/17/2004 00:00:00","Shipped",45995
187,"AV Stores, Co.","11/17/2004 00:00:00","Shipped",47159
129,"Mini Wheels Co.","11/18/2004 00:00:00","Shipped",26248
144,"Volvo Model Replicas, Co","11/19/2004 00:00:00","On Hold",23015
124,"Mini Gifts Distributors Ltd.","11/19/2004 00:00:00","Shipped",6466
172,"La Corne D'abondance, Co.","11/20/2004 00:00:00","Shipped",51211
424,"Classic Legends Inc.","11/21/2004 00:00:00","Shipped",25505
381,"Royale Belge","11/22/2004 00:00:00","Shipped",12082
398,"Tokyo Collectables, Ltd","11/23/2004 00:00:00","Shipped",48928
216,"Enaco Distributors","11/24/2004 00:00:00","Shipped",24945
382,"Salzburg Collectables","11/24/2004 00:00:00","Shipped",42815
114,"Australian Collectors, Co.","11/24/2004 00:00:00","Shipped",40267
353,"Reims Collectables","11/24/2004 00:00:00","Shipped",17105
350,"Marseille Mini Autos","11/25/2004 00:00:00","Shipped",18890
103,"Atelier graphique","11/25/2004 00:00:00","Shipped",1676
112,"Signal Gift Stores","11/29/2004 00:00:00","Shipped",14192
114,"Australian Collectors, Co.","11/29/2004 00:00:00","Shipped",41996
458,"Corrida Auto Replicas, Ltd","11/01/2004 00:00:00","Shipped",33144
151,"Muscle Machine Inc","12/01/2004 00:00:00","Shipped",39965
141,"Euro+ Shopping Channel","12/02/2004 00:00:00","Shipped",46494
324,"Stylish Desk Decors, Co.","12/03/2004 00:00:00","Shipped",13672
198,"Auto-Moto Classics Inc.","12/03/2004 00:00:00","Shipped",9659
447,"Gift Ideas Corp.","12/04/2004 00:00:00","Shipped",26303
323,"Down Under Souveniers, Inc","12/04/2004 00:00:00","Shipped",39440
141,"Euro+ Shopping Channel","12/07/2004 00:00:00","Shipped",25531
363,"Online Diecast Creations Co.","01/06/2003 00:00:00","Shipped",10224
250,"Lyon Souveniers","12/09/2004 00:00:00","Shipped",26312
128,"Blauer See Auto, Co.","01/09/2003 00:00:00","Shipped",10550
124,"Mini Gifts Distributors Ltd.","12/10/2004 00:00:00","Shipped",40678
181,"Vitachrome Inc.","01/10/2003 00:00:00","Shipped",5494
141,"Euro+ Shopping Channel","12/10/2004 00:00:00","Shipped",44184
121,"Baane Mini Imports","01/29/2003 00:00:00","Shipped",50219
353,"Reims Collectables","12/15/2004 00:00:00","Shipped",32599
141,"Euro+ Shopping Channel","01/31/2003 00:00:00","Shipped",40207
496,"Kelly's Gift Shop","12/16/2004 00:00:00","Shipped",52166
145,"Danish Wholesale Imports","02/11/2003 00:00:00","Shipped",53961
282,"Souveniers And Things Co.","12/17/2004 00:00:00","Shipped",31837
278,"Rovelli Gifts","02/17/2003 00:00:00","Shipped",52152
161,"Technics Stores Inc.","01/05/2005 00:00:00","Shipped",12693
131,"Land of Toys Inc.","02/24/2003 00:00:00","Shipped",22294
334,"Suominen Souveniers","01/06/2005 00:00:00","Shipped",45785
385,"Cruz & Sons Co.","03/03/2003 00:00:00","Shipped",51002
350,"Marseille Mini Autos","01/06/2005 00:00:00","Shipped",1835
486,"Motor Mint Distributors Inc.","03/10/2003 00:00:00","Shipped",25833
320,"Mini Creations Ltd.","01/07/2005 00:00:00","Shipped",8308
187,"AV Stores, Co.","03/18/2003 00:00:00","Shipped",48427
381,"Royale Belge","01/10/2005 00:00:00","Shipped",14379
129,"Mini Wheels Co.","03/25/2003 00:00:00","Shipped",16539
205,"Toys4GrownUps.com","01/12/2005 00:00:00","Resolved",39581
144,"Volvo Model Replicas, Co","03/24/2003 00:00:00","Shipped",7675
124,"Mini Gifts Distributors Ltd.","01/19/2005 00:00:00","Shipped",13875
124,"Mini Gifts Distributors Ltd.","03/26/2003 00:00:00","Shipped",11045
379,"Collectables For Less Inc.","01/20/2005 00:00:00","Shipped",28324
172,"La Corne D'abondance, Co.","04/01/2003 00:00:00","Shipped",33382
276,"Anna's Decorations, Ltd","01/20/2005 00:00:00","Shipped",27085
424,"Classic Legends Inc.","04/04/2003 00:00:00","Shipped",21666
124,"Mini Gifts Distributors Ltd.","01/23/2005 00:00:00","Shipped",35138
381,"Royale Belge","04/11/2003 00:00:00","Shipped",1628
398,"Tokyo Collectables, Ltd","01/26/2005 00:00:00","Shipped",33969
148,"Dragon Souveniers, Ltd.","04/16/2003 00:00:00","Shipped",44381
311,"Oulu Toy Supplies, Inc.","01/31/2005 00:00:00","Shipped",46769
216,"Enaco Distributors","04/21/2003 00:00:00","Shipped",3101
333,"Australian Gift Network, Co","02/02/2005 00:00:00","Shipped",21433
382,"Salzburg Collectables","04/28/2003 00:00:00","Shipped",35825
119,"La Rochelle Gifts","02/03/2005 00:00:00","Shipped",49523
114,"Australian Collectors, Co.","04/29/2003 00:00:00","Shipped",45864
219,"Boards & Toys Co.","02/08/2005 00:00:00","Shipped",3453
353,"Reims Collectables","05/07/2003 00:00:00","Shipped",16700
186,"Toys of Finland, Co.","02/09/2005 00:00:00","Shipped",23604
350,"Marseille Mini Autos","05/08/2003 00:00:00","Shipped",50824
141,"Euro+ Shopping Channel","02/10/2005 00:00:00","Shipped",32288
103,"Atelier graphique","05/20/2003 00:00:00","Shipped",14572
141,"Euro+ Shopping Channel","02/10/2005 00:00:00","Shipped",16622
112,"Signal Gift Stores","05/21/2003 00:00:00","Shipped",32641
141,"Euro+ Shopping Channel","02/16/2005 00:00:00","Shipped",34405
114,"Australian Collectors, Co.","05/21/2003 00:00:00","Shipped",7565
321,"Corporate Gift Ideas Co.","02/17/2005 00:00:00","Shipped",32626
458,"Corrida Auto Replicas, Ltd","05/28/2003 00:00:00","Shipped",57133
124,"Mini Gifts Distributors Ltd.","02/17/2005 00:00:00","Shipped",47765
151,"Muscle Machine Inc","06/03/2003 00:00:00","Shipped",58843
141,"Euro+ Shopping Channel","02/22/2005 00:00:00","Shipped",36852
141,"Euro+ Shopping Channel","06/06/2003 00:00:00","Shipped",13884
321,"Corporate Gift Ideas Co.","02/23/2005 00:00:00","Shipped",14156
324,"Stylish Desk Decors, Co.","06/12/2003 00:00:00","Shipped",29430
124,"Mini Gifts Distributors Ltd.","02/28/2005 00:00:00","Shipped",4467
198,"Auto-Moto Classics Inc.","06/16/2003 00:00:00","Shipped",6037
141,"Euro+ Shopping Channel","03/01/2005 00:00:00","Resolved",46970
447,"Gift Ideas Corp.","06/16/2003 00:00:00","Shipped",17032
148,"Dragon Souveniers, Ltd.","03/02/2005 00:00:00","Shipped",3516
323,"Down Under Souveniers, Inc","06/25/2003 00:00:00","Shipped",2880
462,"FunGiftIdeas.com","03/03/2005 00:00:00","Shipped",30293
141,"Euro+ Shopping Channel","06/27/2003 00:00:00","Shipped",22366
448,"Scandinavian Gift Ideas","03/03/2005 00:00:00","Shipped",27967
250,"Lyon Souveniers","07/01/2003 00:00:00","Shipped",23419
124,"Mini Gifts Distributors Ltd.","03/04/2005 00:00:00","Shipped",55902
124,"Mini Gifts Distributors Ltd.","07/02/2003 00:00:00","Shipped",55601
276,"Anna's Decorations, Ltd","03/09/2005 00:00:00","Shipped",29848
242,"Alpha Cognac","07/04/2003 00:00:00","Shipped",14233
452,"Mini Auto Werke","03/10/2005 00:00:00","Shipped",8807
353,"Reims Collectables","07/10/2003 00:00:00","Shipped",13921
323,"Down Under Souveniers, Inc","03/11/2005 00:00:00","Shipped",33593
496,"Kelly's Gift Shop","07/07/2003 00:00:00","Shipped",32077
141,"Euro+ Shopping Channel","03/15/2005 00:00:00","Shipped",18103
282,"Souveniers And Things Co.","07/16/2003 00:00:00","Shipped",24014
250,"Lyon Souveniers","03/17/2005 00:00:00","Shipped",17929
161,"Technics Stores Inc.","07/24/2003 00:00:00","Shipped",38673
124,"Mini Gifts Distributors Ltd.","03/23/2005 00:00:00","Shipped",27696
334,"Suominen Souveniers","08/01/2003 00:00:00","Shipped",29717
242,"Alpha Cognac","03/28/2005 00:00:00","Shipped",12432
124,"Mini Gifts Distributors Ltd.","08/08/2003 00:00:00","Shipped",56053
353,"Reims Collectables","03/30/2005 00:00:00","Shipped",46657
320,"Mini Creations Ltd.","08/10/2003 00:00:00","Shipped",41017
496,"Kelly's Gift Shop","04/01/2005 00:00:00","Shipped",30253
381,"Royale Belge","08/13/2003 00:00:00","Shipped",1128
450,"The Sharp Gifts Warehouse","04/01/2005 00:00:00","Shipped",31756
205,"Toys4GrownUps.com","08/25/2003 00:00:00","Shipped",50342
328,"Tekni Collectables Inc.","04/03/2005 00:00:00","On Hold",43525
447,"Gift Ideas Corp.","09/03/2003 00:00:00","Shipped",6631
406,"Auto Canal+ Petit","04/07/2005 00:00:00","Shipped",12190
379,"Collectables For Less Inc.","09/05/2003 00:00:00","Shipped",32680
201,"UK Collectables, Ltd.","04/08/2005 00:00:00","Shipped",37259
276,"Anna's Decorations, Ltd","09/11/2003 00:00:00","Shipped",41555
323,"Down Under Souveniers, Inc","04/08/2005 00:00:00","Shipped",41427
487,"Signal Collectibles Ltd.","09/12/2003 00:00:00","Shipped",29997
209,"Mini Caravy","04/14/2005 00:00:00","Shipped",35158
148,"Dragon Souveniers, Ltd.","09/19/2003 00:00:00","Shipped",38350
145,"Danish Wholesale Imports","04/15/2005 00:00:00","Disputed",21639
311,"Oulu Toy Supplies, Inc.","09/21/2003 00:00:00","Shipped",32724
450,"The Sharp Gifts Warehouse","04/22/2005 00:00:00","On Hold",52229
333,"Australian Gift Network, Co","09/25/2003 00:00:00","Shipped",9822
398,"Tokyo Collectables, Ltd","04/22/2005 00:00:00","Shipped",615
141,"Euro+ Shopping Channel","09/28/2003 00:00:00","Shipped",44940
166,"Handji Gifts& Co","04/23/2005 00:00:00","Shipped",2327
219,"Boards & Toys Co.","10/02/2003 00:00:00","Shipped",4466
357,"GiftsForHim.com","04/29/2005 00:00:00","Shipped",36441
186,"Toys of Finland, Co.","10/06/2003 00:00:00","Shipped",37601
233,"Québec Home Shopping Network","05/01/2005 00:00:00","Shipped",29070
141,"Euro+ Shopping Channel","10/08/2003 00:00:00","Shipped",4600
141,"Euro+ Shopping Channel","05/03/2005 00:00:00","Shipped",46894
473,"Frau da Collezione","10/09/2003 00:00:00","Shipped",17746
175,"Gift Depot Inc.","05/05/2005 00:00:00","Shipped",28501
121,"Baane Mini Imports","10/10/2003 00:00:00","Shipped",1491
362,"Gifts4AllAges.com","05/06/2005 00:00:00","On Hold",50806
321,"Corporate Gift Ideas Co.","10/10/2003 00:00:00","Shipped",54683
471,"Australian Collectables, Ltd","05/09/2005 00:00:00","Disputed",10944
347,"Men 'R' US Retailers, Ltd.","10/11/2003 00:00:00","Shipped",20453
386,"L'ordine Souveniers","05/10/2005 00:00:00","Shipped",35363
227,"Heintze Collectables","10/17/2003 00:00:00","Shipped",36165
141,"Euro+ Shopping Channel","05/13/2005 00:00:00","Disputed",28575
321,"Corporate Gift Ideas Co.","10/18/2003 00:00:00","Shipped",30877
412,"Extreme Desk Decorations, Ltd","05/16/2005 00:00:00","Shipped",23627
424,"Classic Legends Inc.","10/20/2003 00:00:00","Shipped",22042
382,"Salzburg Collectables","05/17/2005 00:00:00","Shipped",52421
452,"Mini Auto Werke","10/21/2003 00:00:00","Resolved",27122
282,"Souveniers And Things Co.","05/29/2005 00:00:00","In Process",42252
148,"Dragon Souveniers, Ltd.","10/22/2003 00:00:00","Shipped",67394
124,"Mini Gifts Distributors Ltd.","05/29/2005 00:00:00","In Process",7639
462,"FunGiftIdeas.com","10/21/2003 00:00:00","Shipped",9977
157,"Diecast Classics Inc.","05/30/2005 00:00:00","In Process",5849
448,"Scandinavian Gift Ideas","10/23/2003 00:00:00","Cancelled",44166
314,"Petit Auto","05/30/2005 00:00:00","In Process",8599
161,"Technics Stores Inc.","10/28/2003 00:00:00","Shipped",50743
141,"Euro+ Shopping Channel","05/31/2005 00:00:00","In Process",29310
276,"Anna's Decorations, Ltd","11/04/2003 00:00:00","Shipped",38547
119,"La Rochelle Gifts","05/31/2005 00:00:00","In Process",41624
452,"Mini Auto Werke","11/04/2003 00:00:00","Shipped",15130
233,"Québec Home Shopping Network","11/05/2003 00:00:00","Shipped",16910
175,"Gift Depot Inc.","11/05/2003 00:00:00","Shipped",24879
278,"Rovelli Gifts","11/05/2003 00:00:00","Shipped",37725
333,"Australian Gift Network, Co","11/06/2003 00:00:00","Shipped",23937
324,"Stylish Desk Decors, Co.","11/06/2003 00:00:00","Shipped",37458
386,"L'ordine Souveniers","11/06/2003 00:00:00","Shipped",38524
344,"CAF Imports","11/07/2003 00:00:00","Shipped",31429
242,"Alpha Cognac","11/08/2003 00:00:00","Shipped",33819
496,"Kelly's Gift Shop","11/11/2003 00:00:00","Cancelled",22965
171,"Daedalus Designs Imports","11/11/2003 00:00:00","Shipped",42784
167,"Herkku Gifts","11/12/2003 00:00:00","Shipped",55070
124,"Mini Gifts Distributors Ltd.","11/12/2003 00:00:00","Shipped",45085
339,"Classic Gift Ideas, Inc","11/13/2003 00:00:00","Shipped",34608
484,"Iberia Gift Imports, Corp.","11/14/2003 00:00:00","Shipped",47514
320,"Mini Creations Ltd.","11/14/2003 00:00:00","Shipped",52548
489,"Double Decker Gift Stores, Ltd","11/14/2003 00:00:00","Shipped",22275
211,"King Kong Collectables, Co.","11/15/2003 00:00:00","Shipped",28287
167,"Herkku Gifts","11/18/2003 00:00:00","Shipped",29955
205,"Toys4GrownUps.com","11/18/2003 00:00:00","Shipped",3880
141,"Euro+ Shopping Channel","11/19/2003 00:00:00","Shipped",10723
259,"Toms Spezialitäten, Ltd","11/20/2003 00:00:00","Shipped",27989
363,"Online Diecast Creations Co.","11/20/2003 00:00:00","Shipped",55424
471,"Australian Collectables, Ltd","11/21/2003 00:00:00","Shipped",35507
146,"Saveley & Henriot, Co.","11/25/2003 00:00:00","Shipped",39712
319,"Mini Classics","11/25/2003 00:00:00","Shipped",36094
455,"Super Scale Inc.","11/26/2003 00:00:00","Shipped",38140
216,"Enaco Distributors","11/26/2003 00:00:00","Shipped",40474
385,"Cruz & Sons Co.","11/27/2003 00:00:00","Shipped",20645
475,"West Coast Collectables Co.","12/01/2003 00:00:00","Shipped",7678
211,"King Kong Collectables, Co.","12/01/2003 00:00:00","Shipped",17194
129,"Mini Wheels Co.","12/01/2003 00:00:00","Shipped",23924
357,"GiftsForHim.com","12/02/2003 00:00:00","Shipped",20221
141,"Euro+ Shopping Channel","12/02/2003 00:00:00","Shipped",40063
151,"Muscle Machine Inc","12/02/2003 00:00:00","Shipped",58794
141,"Euro+ Shopping Channel","12/03/2003 00:00:00","Shipped",13059
202,"Canadian Gift Exchange Network","12/05/2003 00:00:00","Shipped",36529
495,"Diecast Collectables","12/09/2003 00:00:00","Shipped",59267
146,"Saveley & Henriot, Co.","01/02/2004 00:00:00","Shipped",49614
347,"Men 'R' US Retailers, Ltd.","01/09/2004 00:00:00","Shipped",21054
177,"Osaka Souveniers Co.","01/12/2004 00:00:00","Shipped",47179
406,"Auto Canal+ Petit","01/15/2004 00:00:00","Shipped",49166
141,"Euro+ Shopping Channel","01/16/2004 00:00:00","Shipped",59831
489,"Double Decker Gift Stores, Ltd","01/22/2004 00:00:00","Shipped",7310
458,"Corrida Auto Replicas, Ltd","01/26/2004 00:00:00","Shipped",22163
475,"West Coast Collectables Co.","01/29/2004 00:00:00","Shipped",36072
256,"Auto Associés & Cie.","02/02/2004 00:00:00","Shipped",5759
166,"Handji Gifts& Co","02/04/2004 00:00:00","Shipped",22474
473,"Frau da Collezione","02/09/2004 00:00:00","Shipped",7612
487,"Signal Collectibles Ltd.","02/10/2004 00:00:00","Shipped",12574
189,"Clover Collections, Co.","02/12/2004 00:00:00","Shipped",32539
314,"Petit Auto","02/18/2004 00:00:00","Shipped",16901
239,"Collectable Mini Designs Co.","02/19/2004 00:00:00","Shipped",56823
114,"Australian Collectors, Co.","02/20/2004 00:00:00","Shipped",44895
171,"Daedalus Designs Imports","02/21/2004 00:00:00","Shipped",18998
298,"Vida Sport, Ltd","02/22/2004 00:00:00","Shipped",47377
239,"Collectable Mini Designs Co.","02/26/2004 00:00:00","Shipped",23553
146,"Saveley & Henriot, Co.","03/02/2004 00:00:00","Shipped",40979
173,"Cambridge Collectables Co.","03/10/2004 00:00:00","Shipped",20355
124,"Mini Gifts Distributors Ltd.","03/11/2004 00:00:00","Shipped",43369
128,"Blauer See Auto, Co.","03/15/2004 00:00:00","Shipped",33821
344,"CAF Imports","03/19/2004 00:00:00","Shipped",15323
240,"giftsbymail.co.uk","03/20/2004 00:00:00","Shipped",24996
328,"Tekni Collectables Inc.","03/29/2004 00:00:00","Shipped",7178
412,"Extreme Desk Decorations, Ltd","03/30/2004 00:00:00","Shipped",31670
260,"Royal Canadian Collectables, Ltd.","04/02/2004 00:00:00","Shipped",29285
486,"Motor Mint Distributors Inc.","04/03/2004 00:00:00","Shipped",5899
181,"Vitachrome Inc.","04/05/2004 00:00:00","Shipped",22602
145,"Danish Wholesale Imports","04/09/2004 00:00:00","Shipped",28210
311,"Oulu Toy Supplies, Inc.","04/12/2004 00:00:00","Shipped",16212
