"customerNumber","customerName","addressLine1","addressLine2","city","state"
250,"Lyon Souveniers","27 rue du Colonel Pierre Avia",,"Paris",
350,"Marseille Mini Autos","12, rue des Bouchers",,"Marseille",
286,"Marta's Replicas Co.","39323 Spinnaker Dr.",,"Cambridge","MA"
347,"Men 'R' US Retailers, Ltd.","6047 Douglas Av.",,"Los Angeles","CA"
247,"Messner Shopping Network","Magazinweg 7",,"Frankfurt",
456,"Microscale Inc.","5290 North Pendale Street","Suite 200","NYC","NY"
452,"Mini Auto Werke","Kirchgasse 6",,"Graz",
209,"Mini Caravy","24, place Kléber",,"Strasbourg",
319,"Mini Classics","3758 North Pendale Street",,"White Plains","NY"
320,"Mini Creations Ltd.","4575 Hillside Dr.",,"New Bedford","MA"
124,"Mini Gifts Distributors Ltd.","5677 Strong St.",,"San Rafael","CA"
129,"Mini Wheels Co.","5557 North Pendale Street",,"San Francisco","CA"
477,"Mit Vergnügen & Co.","Forsterstr. 57",,"Mannheim",
486,"Motor Mint Distributors Inc.","11328 Douglas Av.",,"Philadelphia","PA"
151,"Muscle Machine Inc","4092 Furth Circle","Suite 400","NYC","NY"
223,"Natürlich Autos","Taucherstraße 10",,"Cunewalde",
299,"Norway Gifts By Mail, Co.","Drammensveien 126A","PB 211 Sentrum","Oslo",
363,"Online Diecast Creations Co.","2304 Long Airport Avenue",,"Nashua","NH"
204,"Online Mini Collectables","7635 Spinnaker Dr.",,"Brickhaven","MA"
177,"Osaka Souveniers Co.","1-6-20 Dojima",,"Kita-ku","Osaka"
311,"Oulu Toy Supplies, Inc.","Torikatu 38",,"Oulu",
314,"Petit Auto","Rue Joseph-Bens 532",,"Bruxelles",
169,"Porto Imports Co.","Estrada da saúde n. 58",,"Lisboa",
376,"Precious Collectables","Hauptstr. 29",,"Bern",
233,"Québec Home Shopping Network","43 rue St. Laurent",,"Montréal","Québec"
481,"Raanan Stores, Inc","3 Hagalim Blv.",,"Herzlia",
353,"Reims Collectables","59 rue de l'Abbaye",,"Reims",
278,"Rovelli Gifts","Via Ludovico il Moro 22",,"Bergamo",
260,"Royal Canadian Collectables, Ltd.","23 Tsawassen Blvd.",,"Tsawassen","BC"
381,"Royale Belge","Boulevard Tirou, 255",,"Charleroi",
356,"SAR Distributors, Co","1250 Pretorius Street",,"Hatfield","Pretoria"
382,"Salzburg Collectables","Geislweg 14",,"Salzburg",
146,"Saveley & Henriot, Co.","2, rue du Commerce",,"Lyon",
448,"Scandinavian Gift Ideas","Åkergatan 24",,"Bräcke",
303,"Schuyler Imports","Kingsfordweg 151",,"Amsterdam",
487,"Signal Collectibles Ltd.","2793 Furth Circle",,"Brisbane","CA"
112,"Signal Gift Stores","8489 Strong St.",,"Las Vegas","NV"
282,"Souveniers And Things Co.","Monitor Money Building","815 Pacific Hwy","Chatswood","NSW"
409,"Stuttgart Collectable Exchange","Adenauerallee 900",,"Stuttgart",
324,"Stylish Desk Decors, Co.","35 King George",,"London",
334,"Suominen Souveniers","Software Engineering Center","SEC Oy","Espoo",
455,"Super Scale Inc.","567 North Pendale Street",,"New Haven","CT"
161,"Technics Stores Inc.","9408 Furth Circle",,"Burlingame","CA"
328,"Tekni Collectables Inc.","7476 Moss Rd.",,"Newark","NJ"
450,"The Sharp Gifts Warehouse","3086 Ingle Ln.",,"San Jose","CA"
398,"Tokyo Collectables, Ltd","2-2-8 Roppongi",,"Minato-ku","Tokyo"
259,"Toms Spezialitäten, Ltd","Mehrheimerstr. 369",,"Köln",
186,"Toys of Finland, Co.","Keskuskatu 45",,"Helsinki",
205,"Toys4GrownUps.com","78934 Hillside Dr.",,"Pasadena","CA"
201,"UK Collectables, Ltd.","12, Berkeley Gardens Blvd",,"Liverpool",
298,"Vida Sport, Ltd","Grenzacherweg 237",,"Genève",
181,"Vitachrome Inc.","2678 Kingston Rd.","Suite 101","NYC","NY"
144,"Volvo Model Replicas, Co","Berguvsvägen  8",,"Luleå",
459,"Warburg Exchange","Walserweg 21",,"Aachen",
475,"West Coast Collectables Co.","3675 Furth Circle",,"Burbank","CA"
240,"giftsbymail.co.uk","Garden House","Crowther Way 23","Cowes","Isle of Wight"
