"orderNumber","orderDate","requiredDate","shippedDate","status","comments","customerNumber"
10195,"11/25/2003 00:00:00","12/01/2003 00:00:00","11/28/2003 00:00:00","Shipped",,319
10196,"11/26/2003 00:00:00","12/03/2003 00:00:00","12/01/2003 00:00:00","Shipped",,455
10197,"11/26/2003 00:00:00","12/02/2003 00:00:00","12/01/2003 00:00:00","Shipped","Customer inquired about remote controlled models and gold models.",216
10198,"11/27/2003 00:00:00","12/06/2003 00:00:00","12/03/2003 00:00:00","Shipped",,385
10199,"12/01/2003 00:00:00","12/10/2003 00:00:00","12/06/2003 00:00:00","Shipped",,475
10200,"12/01/2003 00:00:00","12/09/2003 00:00:00","12/06/2003 00:00:00","Shipped",,211
10201,"12/01/2003 00:00:00","12/11/2003 00:00:00","12/02/2003 00:00:00","Shipped",,129
10202,"12/02/2003 00:00:00","12/09/2003 00:00:00","12/06/2003 00:00:00","Shipped",,357
10203,"12/02/2003 00:00:00","12/11/2003 00:00:00","12/07/2003 00:00:00","Shipped",,141
10204,"12/02/2003 00:00:00","12/10/2003 00:00:00","12/04/2003 00:00:00","Shipped",,151
10205,"12/03/2003 00:00:00","12/09/2003 00:00:00","12/07/2003 00:00:00","Shipped"," I need all the information I can get on our competitors.",141
10206,"12/05/2003 00:00:00","12/13/2003 00:00:00","12/08/2003 00:00:00","Shipped","Can we renegotiate this one?",202
10207,"12/09/2003 00:00:00","12/17/2003 00:00:00","12/11/2003 00:00:00","Shipped","Check on availability.",495
10208,"01/02/2004 00:00:00","01/11/2004 00:00:00","01/04/2004 00:00:00","Shipped",,146
10209,"01/09/2004 00:00:00","01/15/2004 00:00:00","01/12/2004 00:00:00","Shipped",,347
10210,"01/12/2004 00:00:00","01/22/2004 00:00:00","01/20/2004 00:00:00","Shipped",,177
10211,"01/15/2004 00:00:00","01/25/2004 00:00:00","01/18/2004 00:00:00","Shipped",,406
10212,"01/16/2004 00:00:00","01/24/2004 00:00:00","01/18/2004 00:00:00","Shipped",,141
10213,"01/22/2004 00:00:00","01/28/2004 00:00:00","01/27/2004 00:00:00","Shipped","Difficult to negotiate with customer. We need more marketing materials",489
10214,"01/26/2004 00:00:00","02/04/2004 00:00:00","01/29/2004 00:00:00","Shipped",,458
10215,"01/29/2004 00:00:00","02/08/2004 00:00:00","02/01/2004 00:00:00","Shipped","Customer requested that FedEx Ground is used for this shipping",475
10216,"02/02/2004 00:00:00","02/10/2004 00:00:00","02/04/2004 00:00:00","Shipped",,256
10217,"02/04/2004 00:00:00","02/14/2004 00:00:00","02/06/2004 00:00:00","Shipped",,166
10218,"02/09/2004 00:00:00","02/16/2004 00:00:00","02/11/2004 00:00:00","Shipped","Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",473
10219,"02/10/2004 00:00:00","02/17/2004 00:00:00","02/12/2004 00:00:00","Shipped",,487
10220,"02/12/2004 00:00:00","02/19/2004 00:00:00","02/16/2004 00:00:00","Shipped",,189
10221,"02/18/2004 00:00:00","02/26/2004 00:00:00","02/19/2004 00:00:00","Shipped",,314
10222,"02/19/2004 00:00:00","02/27/2004 00:00:00","02/20/2004 00:00:00","Shipped",,239
10223,"02/20/2004 00:00:00","02/29/2004 00:00:00","02/24/2004 00:00:00","Shipped",,114
10224,"02/21/2004 00:00:00","03/02/2004 00:00:00","02/26/2004 00:00:00","Shipped","Customer has worked with some of our vendors in the past and is aware of their MSRP",171
10225,"02/22/2004 00:00:00","03/01/2004 00:00:00","02/24/2004 00:00:00","Shipped",,298
10226,"02/26/2004 00:00:00","03/06/2004 00:00:00","03/02/2004 00:00:00","Shipped",,239
10227,"03/02/2004 00:00:00","03/12/2004 00:00:00","03/08/2004 00:00:00","Shipped",,146
10228,"03/10/2004 00:00:00","03/18/2004 00:00:00","03/13/2004 00:00:00","Shipped",,173
10229,"03/11/2004 00:00:00","03/20/2004 00:00:00","03/12/2004 00:00:00","Shipped",,124
10230,"03/15/2004 00:00:00","03/24/2004 00:00:00","03/20/2004 00:00:00","Shipped","Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch",128
10231,"03/19/2004 00:00:00","03/26/2004 00:00:00","03/25/2004 00:00:00","Shipped",,344
10232,"03/20/2004 00:00:00","03/30/2004 00:00:00","03/25/2004 00:00:00","Shipped",,240
10233,"03/29/2004 00:00:00","04/04/2004 00:00:00","04/02/2004 00:00:00","Shipped","Customer requested special shippment. The instructions were passed along to the warehouse",328
10234,"03/30/2004 00:00:00","04/05/2004 00:00:00","04/02/2004 00:00:00","Shipped",,412
10235,"04/02/2004 00:00:00","04/12/2004 00:00:00","04/06/2004 00:00:00","Shipped",,260
10236,"04/03/2004 00:00:00","04/11/2004 00:00:00","04/08/2004 00:00:00","Shipped",,486
10237,"04/05/2004 00:00:00","04/12/2004 00:00:00","04/10/2004 00:00:00","Shipped",,181
10238,"04/09/2004 00:00:00","04/16/2004 00:00:00","04/10/2004 00:00:00","Shipped",,145
10239,"04/12/2004 00:00:00","04/21/2004 00:00:00","04/17/2004 00:00:00","Shipped",,311
10240,"04/13/2004 00:00:00","04/20/2004 00:00:00","04/20/2004 00:00:00","Shipped",,177
10241,"04/13/2004 00:00:00","04/20/2004 00:00:00","04/19/2004 00:00:00","Shipped",,209
10242,"04/20/2004 00:00:00","04/28/2004 00:00:00","04/25/2004 00:00:00","Shipped","Customer is interested in buying more Ferrari models",456
10243,"04/26/2004 00:00:00","05/03/2004 00:00:00","04/28/2004 00:00:00","Shipped",,495
10244,"04/29/2004 00:00:00","05/09/2004 00:00:00","05/04/2004 00:00:00","Shipped",,141
10245,"05/04/2004 00:00:00","05/12/2004 00:00:00","05/09/2004 00:00:00","Shipped",,455
10246,"05/05/2004 00:00:00","05/13/2004 00:00:00","05/06/2004 00:00:00","Shipped",,141
10247,"05/05/2004 00:00:00","05/11/2004 00:00:00","05/08/2004 00:00:00","Shipped",,334
10249,"05/08/2004 00:00:00","05/17/2004 00:00:00","05/11/2004 00:00:00","Shipped","Can we deliver the new Ford Mustang models by end-of-quarter?",173
10250,"05/11/2004 00:00:00","05/19/2004 00:00:00","05/15/2004 00:00:00","Shipped",,450
10251,"05/18/2004 00:00:00","05/24/2004 00:00:00","05/24/2004 00:00:00","Shipped",,328
10252,"05/26/2004 00:00:00","06/04/2004 00:00:00","05/29/2004 00:00:00","Shipped",,406
10254,"06/03/2004 00:00:00","06/13/2004 00:00:00","06/04/2004 00:00:00","Shipped","Customer requested that DHL is used for this shipping",323
10255,"06/04/2004 00:00:00","06/12/2004 00:00:00","06/09/2004 00:00:00","Shipped",,209
10256,"06/08/2004 00:00:00","06/16/2004 00:00:00","06/10/2004 00:00:00","Shipped",,145
10257,"06/14/2004 00:00:00","06/24/2004 00:00:00","06/15/2004 00:00:00","Shipped",,450
10258,"06/15/2004 00:00:00","06/25/2004 00:00:00","06/23/2004 00:00:00","Shipped",,398
10259,"06/15/2004 00:00:00","06/22/2004 00:00:00","06/17/2004 00:00:00","Shipped",,166
10261,"06/17/2004 00:00:00","06/25/2004 00:00:00","06/22/2004 00:00:00","Shipped",,233
10263,"06/28/2004 00:00:00","07/04/2004 00:00:00","07/02/2004 00:00:00","Shipped",,175
10264,"06/30/2004 00:00:00","07/06/2004 00:00:00","07/01/2004 00:00:00","Shipped","Customer will send a truck to our local warehouse on 7/1/2004",362
10265,"07/02/2004 00:00:00","07/09/2004 00:00:00","07/07/2004 00:00:00","Shipped",,471
10266,"07/06/2004 00:00:00","07/14/2004 00:00:00","07/10/2004 00:00:00","Shipped",,386
10267,"07/07/2004 00:00:00","07/17/2004 00:00:00","07/09/2004 00:00:00","Shipped",,151
10268,"07/12/2004 00:00:00","07/18/2004 00:00:00","07/14/2004 00:00:00","Shipped",,412
10269,"07/16/2004 00:00:00","07/22/2004 00:00:00","07/18/2004 00:00:00","Shipped",,382
10270,"07/19/2004 00:00:00","07/27/2004 00:00:00","07/24/2004 00:00:00","Shipped","Can we renegotiate this one?",282
10271,"07/20/2004 00:00:00","07/29/2004 00:00:00","07/23/2004 00:00:00","Shipped",,124
10272,"07/20/2004 00:00:00","07/26/2004 00:00:00","07/22/2004 00:00:00","Shipped",,157
10273,"07/21/2004 00:00:00","07/28/2004 00:00:00","07/22/2004 00:00:00","Shipped",,314
10274,"07/21/2004 00:00:00","07/29/2004 00:00:00","07/22/2004 00:00:00","Shipped",,379
10275,"07/23/2004 00:00:00","08/02/2004 00:00:00","07/29/2004 00:00:00","Shipped",,119
10276,"08/02/2004 00:00:00","08/11/2004 00:00:00","08/08/2004 00:00:00","Shipped",,204
10277,"08/04/2004 00:00:00","08/12/2004 00:00:00","08/05/2004 00:00:00","Shipped",,148
10278,"08/06/2004 00:00:00","08/16/2004 00:00:00","08/09/2004 00:00:00","Shipped",,112
10279,"08/09/2004 00:00:00","08/19/2004 00:00:00","08/15/2004 00:00:00","Shipped","Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",141
10280,"08/17/2004 00:00:00","08/27/2004 00:00:00","08/19/2004 00:00:00","Shipped",,249
10281,"08/19/2004 00:00:00","08/28/2004 00:00:00","08/23/2004 00:00:00","Shipped",,157
10282,"08/20/2004 00:00:00","08/26/2004 00:00:00","08/22/2004 00:00:00","Shipped",,124
10283,"08/20/2004 00:00:00","08/30/2004 00:00:00","08/23/2004 00:00:00","Shipped",,260
10284,"08/21/2004 00:00:00","08/29/2004 00:00:00","08/26/2004 00:00:00","Shipped","Custom shipping instructions sent to warehouse",299
10285,"08/27/2004 00:00:00","09/04/2004 00:00:00","08/31/2004 00:00:00","Shipped",,286
10286,"08/28/2004 00:00:00","09/06/2004 00:00:00","09/01/2004 00:00:00","Shipped",,172
10287,"08/30/2004 00:00:00","09/06/2004 00:00:00","09/01/2004 00:00:00","Shipped",,298
10288,"09/01/2004 00:00:00","09/11/2004 00:00:00","09/05/2004 00:00:00","Shipped",,166
10289,"09/03/2004 00:00:00","09/13/2004 00:00:00","09/04/2004 00:00:00","Shipped","We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.",167
10290,"09/07/2004 00:00:00","09/15/2004 00:00:00","09/13/2004 00:00:00","Shipped",,198
10291,"09/08/2004 00:00:00","09/17/2004 00:00:00","09/14/2004 00:00:00","Shipped",,448
10292,"09/08/2004 00:00:00","09/18/2004 00:00:00","09/11/2004 00:00:00","Shipped","They want to reevaluate their terms agreement with Finance.",131
10293,"09/09/2004 00:00:00","09/18/2004 00:00:00","09/14/2004 00:00:00","Shipped",,249
10294,"09/10/2004 00:00:00","09/17/2004 00:00:00","09/14/2004 00:00:00","Shipped",,204
10295,"09/10/2004 00:00:00","09/17/2004 00:00:00","09/14/2004 00:00:00","Shipped","They want to reevaluate their terms agreement with Finance.",362
10296,"09/15/2004 00:00:00","09/22/2004 00:00:00","09/16/2004 00:00:00","Shipped",,415
10297,"09/16/2004 00:00:00","09/22/2004 00:00:00","09/21/2004 00:00:00","Shipped","We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.",189
10298,"09/27/2004 00:00:00","10/05/2004 00:00:00","10/01/2004 00:00:00","Shipped",,103
10299,"09/30/2004 00:00:00","10/10/2004 00:00:00","10/01/2004 00:00:00","Shipped",,186
10300,"10/04/2003 00:00:00","10/13/2003 00:00:00","10/09/2003 00:00:00","Shipped",,128
10301,"10/05/2003 00:00:00","10/15/2003 00:00:00","10/08/2003 00:00:00","Shipped",,299
10302,"10/06/2003 00:00:00","10/16/2003 00:00:00","10/07/2003 00:00:00","Shipped",,201
10303,"10/06/2004 00:00:00","10/14/2004 00:00:00","10/09/2004 00:00:00","Shipped","Customer inquired about remote controlled models and gold models.",484
10304,"10/11/2004 00:00:00","10/20/2004 00:00:00","10/17/2004 00:00:00","Shipped",,256
10305,"10/13/2004 00:00:00","10/22/2004 00:00:00","10/15/2004 00:00:00","Shipped","Check on availability.",286
10306,"10/14/2004 00:00:00","10/21/2004 00:00:00","10/17/2004 00:00:00","Shipped",,187
10307,"10/14/2004 00:00:00","10/23/2004 00:00:00","10/20/2004 00:00:00","Shipped",,339
10308,"10/15/2004 00:00:00","10/24/2004 00:00:00","10/20/2004 00:00:00","Shipped","Customer requested that FedEx Ground is used for this shipping",319
10309,"10/15/2004 00:00:00","10/24/2004 00:00:00","10/18/2004 00:00:00","Shipped",,121
10310,"10/16/2004 00:00:00","10/24/2004 00:00:00","10/18/2004 00:00:00","Shipped",,259
10311,"10/16/2004 00:00:00","10/23/2004 00:00:00","10/20/2004 00:00:00","Shipped","Difficult to negotiate with customer. We need more marketing materials",141
10312,"10/21/2004 00:00:00","10/27/2004 00:00:00","10/23/2004 00:00:00","Shipped",,124
10313,"10/22/2004 00:00:00","10/28/2004 00:00:00","10/25/2004 00:00:00","Shipped","Customer requested that FedEx Ground is used for this shipping",202
10314,"10/22/2004 00:00:00","11/01/2004 00:00:00","10/23/2004 00:00:00","Shipped",,227
10315,"10/29/2004 00:00:00","11/08/2004 00:00:00","10/30/2004 00:00:00","Shipped",,119
10316,"11/01/2004 00:00:00","11/09/2004 00:00:00","11/07/2004 00:00:00","Shipped","Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",240
10317,"11/02/2004 00:00:00","11/12/2004 00:00:00","11/08/2004 00:00:00","Shipped",,161
10318,"11/02/2004 00:00:00","11/09/2004 00:00:00","11/07/2004 00:00:00","Shipped",,157
10319,"11/03/2004 00:00:00","11/11/2004 00:00:00","11/06/2004 00:00:00","Shipped","Customer requested that DHL is used for this shipping",456
10320,"11/03/2004 00:00:00","11/13/2004 00:00:00","11/07/2004 00:00:00","Shipped",,144
10321,"11/04/2004 00:00:00","11/12/2004 00:00:00","11/07/2004 00:00:00","Shipped",,462
10322,"11/04/2004 00:00:00","11/12/2004 00:00:00","11/10/2004 00:00:00","Shipped","Customer has worked with some of our vendors in the past and is aware of their MSRP",363
10323,"11/05/2004 00:00:00","11/12/2004 00:00:00","11/09/2004 00:00:00","Shipped",,128
10324,"11/05/2004 00:00:00","11/11/2004 00:00:00","11/08/2004 00:00:00","Shipped",,181
10325,"11/05/2004 00:00:00","11/13/2004 00:00:00","11/08/2004 00:00:00","Shipped",,121
10326,"11/09/2004 00:00:00","11/16/2004 00:00:00","11/10/2004 00:00:00","Shipped",,144
10328,"11/12/2004 00:00:00","11/21/2004 00:00:00","11/18/2004 00:00:00","Shipped","Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch",278
10329,"11/15/2004 00:00:00","11/24/2004 00:00:00","11/16/2004 00:00:00","Shipped",,131
10330,"11/16/2004 00:00:00","11/25/2004 00:00:00","11/21/2004 00:00:00","Shipped",,385
10331,"11/17/2004 00:00:00","11/23/2004 00:00:00","11/23/2004 00:00:00","Shipped","Customer requested special shippment. The instructions were passed along to the warehouse",486
10332,"11/17/2004 00:00:00","11/25/2004 00:00:00","11/18/2004 00:00:00","Shipped",,187
10333,"11/18/2004 00:00:00","11/27/2004 00:00:00","11/20/2004 00:00:00","Shipped",,129
10335,"11/19/2004 00:00:00","11/29/2004 00:00:00","11/23/2004 00:00:00","Shipped",,124
10336,"11/20/2004 00:00:00","11/26/2004 00:00:00","11/24/2004 00:00:00","Shipped","Customer requested that DHL is used for this shipping",172
10337,"11/21/2004 00:00:00","11/30/2004 00:00:00","11/26/2004 00:00:00","Shipped",,424
10338,"11/22/2004 00:00:00","12/02/2004 00:00:00","11/27/2004 00:00:00","Shipped",,381
10339,"11/23/2004 00:00:00","11/30/2004 00:00:00","11/30/2004 00:00:00","Shipped",,398
10340,"11/24/2004 00:00:00","12/01/2004 00:00:00","11/25/2004 00:00:00","Shipped","Customer is interested in buying more Ferrari models",216
10341,"11/24/2004 00:00:00","12/01/2004 00:00:00","11/29/2004 00:00:00","Shipped",,382
10342,"11/24/2004 00:00:00","12/01/2004 00:00:00","11/29/2004 00:00:00","Shipped",,114
10343,"11/24/2004 00:00:00","12/01/2004 00:00:00","11/26/2004 00:00:00","Shipped",,353
10344,"11/25/2004 00:00:00","12/02/2004 00:00:00","11/29/2004 00:00:00","Shipped",,350
10345,"11/25/2004 00:00:00","12/01/2004 00:00:00","11/26/2004 00:00:00","Shipped",,103
10346,"11/29/2004 00:00:00","12/05/2004 00:00:00","11/30/2004 00:00:00","Shipped",,112
10347,"11/29/2004 00:00:00","12/07/2004 00:00:00","11/30/2004 00:00:00","Shipped","Can we deliver the new Ford Mustang models by end-of-quarter?",114
10348,"11/01/2004 00:00:00","11/08/2004 00:00:00","11/05/2004 00:00:00","Shipped",,458
10349,"12/01/2004 00:00:00","12/07/2004 00:00:00","12/03/2004 00:00:00","Shipped",,151
10350,"12/02/2004 00:00:00","12/08/2004 00:00:00","12/05/2004 00:00:00","Shipped",,141
10351,"12/03/2004 00:00:00","12/11/2004 00:00:00","12/07/2004 00:00:00","Shipped",,324
10352,"12/03/2004 00:00:00","12/12/2004 00:00:00","12/09/2004 00:00:00","Shipped",,198
10353,"12/04/2004 00:00:00","12/11/2004 00:00:00","12/05/2004 00:00:00","Shipped",,447
10354,"12/04/2004 00:00:00","12/10/2004 00:00:00","12/05/2004 00:00:00","Shipped",,323
10355,"12/07/2004 00:00:00","12/14/2004 00:00:00","12/13/2004 00:00:00","Shipped",,141
10356,"12/09/2004 00:00:00","12/15/2004 00:00:00","12/12/2004 00:00:00","Shipped",,250
10357,"12/10/2004 00:00:00","12/16/2004 00:00:00","12/14/2004 00:00:00","Shipped",,124
